date_recorded,pokemon_ID,pokemon_name,shiny_rate_frac,shiny_rate,sample_size
2020-05-15,1,Bulbasaur,1/716,1,716
2020-05-15,4,Charmander,1/381,1,381
2020-05-15,25,Pikachu,1/514,1,"50,968"
2020-05-15,41,Zubat,1/367,1,367
2020-05-15,54,Psyduck,1/347,1,347
2020-05-15,60,Poliwag,1/167,1,501
2020-05-15,63,Abra,1/311,1,311
2020-05-15,66,Machop,1/531,1,"64,362"
2020-05-15,72,Tentacool,1/250,1,250
2020-05-15,77,Ponyta,1/735,1,735
2020-05-15,81,Magnemite,1/670,1,670
2020-05-15,86,Seel,1/243,1,"1,215"
2020-05-15,92,Gastly,1/348,1,696
2020-05-15,95,Onix,1/119,1,714
2020-05-15,102,Exeggcute,1/312,1,624
2020-05-15,111,Rhyhorn,1/436,1,436
2020-05-15,115,Kangaskhan,"1/1,042",1,"1,042"
2020-05-15,116,Horsea,1/435,1,435
2020-05-15,123,Scyther,1/58,1,411
2020-05-15,127,Pinsir,1/230,1,461
2020-05-15,128,Tauros,1/819,1,819
2020-05-15,129,Magikarp,1/597,1,597
2020-05-15,140,Kabuto,1/326,1,326
2020-05-15,152,Chikorita,1/458,1,"80,777"
2020-05-15,155,Cyndaquil,1/489,1,"93,994"
2020-05-15,158,Totodile,1/501,1,"95,860"
2020-05-15,161,Sentret,1/584,1,"12,277"
2020-05-15,170,Chinchou,1/739,1,"6,659"
2020-05-15,177,Natu,1/502,1,"6,527"
2020-05-15,179,Mareep,1/683,1,"4,103"
2020-05-15,183,Marill,1/499,1,"1,996"
2020-05-15,185,Sudowoodo,1/763,1,"6,869"
2020-05-15,190,Aipom,1/682,1,"15,702"
2020-05-15,191,Sunkern,1/532,1,"7,457"
2020-05-15,193,Yanma,1/343,1,"10,650"
2020-05-15,198,Murkrow,1/526,1,"7,377"
2020-05-15,200,Misdreavus,1/491,1,"48,627"
2020-05-15,202,Wobbuffet,1/255,1,767
2020-05-15,204,Pineco,1/141,1,566
2020-05-15,206,Dunsparce,1/480,1,"96,541"
2020-05-15,207,Gligar,1/44,1,"1,235"
2020-05-15,209,Snubbull,1/388,1,"12,029"
2020-05-15,213,Shuckle,1/461,1,"4,152"
2020-05-15,215,Sneasel,1/49,1,699
2020-05-15,216,Teddiursa,1/357,1,"3,576"
2020-05-15,220,Swinub,1/496,1,"79,001"
2020-05-15,227,Skarmory,1/58,1,"24,369"
2020-05-15,228,Houndour,1/498,1,"12,456"
2020-05-15,234,Stantler,1/856,1,"1,713"
2020-05-15,246,Larvitar,1/574,1,"2,870"
2020-05-15,252,Treecko,1/651,1,"11,719"
2020-05-15,255,Torchic,1/536,1,"11,795"
2020-05-15,258,Mudkip,1/622,1,"27,393"
2020-05-15,261,Poochyena,1/472,1,"7,084"
2020-05-15,263,Zigzagoon,1/493,1,"13,322"
2020-05-15,265,Wurmple,1/399,1,"7,981"
2020-05-15,270,Lotad,1/258,1,258
2020-05-15,276,Taillow,1/470,1,"13,178"
2020-05-15,278,Wingull,1/365,1,"4,389"
2020-05-15,280,Ralts,1/506,1,"3,545"
2020-05-15,296,Makuhita,1/711,1,"4,267"
2020-05-15,300,Skitty,1/623,1,"27,422"
2020-05-15,302,Sableye,1/364,1,"1,093"
2020-05-15,304,Aron,1/459,1,"13,781"
2020-05-15,307,Meditite,1/554,1,"14,415"
2020-05-15,311,Plusle,1/799,1,"2,399"
2020-05-15,312,Minun,1/997,1,"1,994"
2020-05-15,313,Volbeat,1/342,1,685
2020-05-15,315,Roselia,1/399,1,"2,398"
2020-05-15,318,Carvanha,1/504,1,"2,019"
2020-05-15,320,Wailmer,1/280,1,"1,121"
2020-05-15,325,Spoink,1/788,1,"2,365"
2020-05-15,328,Trapinch,1/208,1,626
2020-05-15,333,Swablu,1/444,1,"3,997"
2020-05-15,335,Zangoose,1/498,1,"7,969"
2020-05-15,336,Seviper,1/489,1,"1,469"
2020-05-15,337,Lunatone,1/433,1,433
2020-05-15,339,Barboach,1/449,1,"13,496"
2020-05-15,343,Baltoy,1/771,1,"1,542"
2020-05-15,345,Lileep,1/635,1,"3,179"
2020-05-15,347,Anorith,1/454,1,"3,183"
2020-05-15,349,Feebas,1/63,1,891
2020-05-15,353,Shuppet,1/179,1,358
2020-05-15,355,Duskull,1/531,1,"2,656"
2020-05-15,361,Snorunt,1/17,1,17
2020-05-15,366,Clamperl,1/72,1,72
2020-05-15,370,Luvdisc,1/337,1,"1,350"
2020-05-15,374,Beldum,1/611,1,611
2020-05-15,393,Piplup,1/280,1,560
2020-05-15,453,Croagunk,1/280,1,561
2020-05-15,506,Lillipup,1/348,1,348
